Name,Year,Duration,Rating,MetaScore,Vote,Gross
"Love, Simon",2018,110,7.7,72,71723,40826341
Spider-Man: Into the Spider-Verse,2018,117,8.7,87,70276,137850009
The Defenders,2017,50,7.4,Unknown,70166,Unknown
Downsizing,2017,135,5.7,63,69422,24449754
The Circle,2017,110,5.3,43,69177,20476391
Legion,2017,60,8.3,Unknown,69034,Unknown
Crazy Rich Asians,2018,120,7.0,74,68297,174051805
Okja,2017,120,7.3,75,67657,Unknown
Searching,2018,102,7.7,71,66816,26020957
Skyscraper,2018,102,5.9,51,66627,67796355
Halloween,2018,106,6.8,67,65884,159342015
Tag,2018,100,6.6,56,65794,54547470
The Florida Project,2017,111,7.6,92,65669,5904366
It Comes at Night,2017,91,6.2,78,65132,13985117
Death Note,2017,101,4.5,43,63887,Unknown
Game of Thrones,2011,50,9.8,Unknown,63552,Unknown
Baahubali 2: The Conclusion,2017,167,8.3,Unknown,62806,20186659
Going in Style,2017,96,6.6,50,62078,45003463
Den of Thieves,2018,140,7.0,49,61098,44947622
You Were Never Really Here,2017,89,6.8,84,59172,2523610
Gerald's Game,2017,103,6.6,77,58952,Unknown
Star Trek: Discovery,2017,60,7.4,Unknown,56873,Unknown
The Ballad of Buster Scruggs,2018,133,7.4,79,56201,Unknown
A Simple Favor,2018,117,6.9,67,55713,53542417
All the Money in the World,2017,132,6.8,72,55336,25106315
The Death of Stalin,2017,107,7.2,88,54899,8041828
American Assassin,2017,112,6.2,45,54743,36249674
Cars 3,2017,102,6.8,59,54410,152901115
Shot Caller,2017,121,7.3,59,53919,Unknown
Jigsaw,2017,92,5.8,39,53815,38052832
The Mountain Between Us,2017,112,6.4,48,53407,30348555
American Gods,2017,60,8.1,Unknown,52742,Unknown
Enes Batur Hayal mi Gerçek mi?,2018,110,5.8,Unknown,50789,Unknown
To All the Boys I've Loved Before,2018,99,7.3,64,50408,Unknown
A Dog's Purpose,2017,100,7.0,43,49732,64508620
Mamma Mia! Here We Go Again,2018,114,6.9,60,49674,120634935
The Sinner,2017,60,8.0,Unknown,49561,Unknown
Blockers,2018,102,6.2,69,49103,59839515
Bad Times at the El Royale,2018,141,7.2,60,48865,17839115
Sacred Games,2018,50,8.9,Unknown,48515,Unknown
The Ritual,2017,94,6.3,57,47975,Unknown
Good Time,2017,101,7.3,80,47842,2009484
Lost in Space,2018,60,7.2,Unknown,47137,Unknown
Bodyguard,2018,60,8.2,Unknown,46629,Unknown
Hostiles,2017,134,7.2,65,46382,29819114
The Snowman,2017,119,5.1,23,44773,6670765
The Emoji Movie,2017,86,3.2,12,44736,86089513
Daddy's Home Two,2017,100,6.0,30,44710,104029443
Roma,2018,135,8.1,96,44171,Unknown
12 Strong,2018,130,6.6,54,44101,45495662
Game of Thrones,2011,70,9.2,Unknown,43692,Unknown
A Ghost Story,2017,92,6.8,84,43330,1596371
Death Wish,2018,107,6.4,31,42663,34017028
The Babysitter,2017,85,6.3,Unknown,42606,Unknown
A Series of Unfortunate Events,2017,50,7.9,Unknown,42239,Unknown
Maniac,2018,40,8.0,Unknown,42021,Unknown
Game of Thrones,2011,80,9.6,Unknown,41880,Unknown
Paddington 2,2017,103,7.9,88,41337,40442052
Pitch Perfect 3,2017,93,5.8,40,41050,104897530
The Square,2017,151,7.3,73,40977,1502347
Only the Brave,2017,134,7.7,72,40751,18340051
Jack Ryan,2018,60,8.2,Unknown,40415,Unknown
The Beguiled,2017,93,6.3,77,40292,10576669
Battle of the Sexes,2017,121,6.7,73,40157,12638526
Brawl in Cell Block 99,2017,132,7.1,79,40058,Unknown
Twin Peaks,2017,60,8.5,Unknown,39774,Unknown
Fifty Shades Freed,2018,105,4.5,31,39505,100407760
The Good Doctor,2017,41,8.3,Unknown,38853,Unknown
The Space Between Us,2017,120,6.4,33,38328,7829766
Insidious: The Last Key,2018,103,5.7,49,38173,67347895
Christopher Robin,2018,104,7.4,60,37809,99215042
Detroit,2017,143,7.4,77,37677,16790139
The Orville,2017,44,7.9,Unknown,37647,Unknown
The Spy Who Dumped Me,2018,117,6.0,52,37262,33562069
Santa Clarita Diet,2017,30,7.8,Unknown,37137,Unknown
Mile 22,2018,94,6.1,38,37054,36108758
Ferdinand,2017,108,6.7,58,36881,84410380
The Kissing Booth,2018,105,6.2,Unknown,36848,Unknown
Rough Night,2017,101,5.2,51,36764,22062200
Sanju,2018,155,8.0,Unknown,36733,7909317
Before I Fall,2017,98,6.4,58,36703,12230791
Outlaw King,2018,121,7.0,59,36524,Unknown
47 Meters Down,2017,89,5.6,52,36491,44307191
Cumali Ceber: Allah Seni Alsin,2017,100,1.3,Unknown,36478,Unknown
Game of Thrones,2011,59,8.7,Unknown,36271,Unknown
Godless,2017,60,8.4,Unknown,36172,Unknown
Loving Vincent,2017,94,7.8,62,36023,6735118
Raees,2017,143,6.9,Unknown,35779,3262954
I Don't Feel at Home in This World Anymore.,2017,93,6.9,75,35486,Unknown
Sharp Objects,2018,60,8.2,Unknown,34711,Unknown
The Marvelous Mrs. Maisel,2017,57,8.7,Unknown,34633,Unknown
Chilling Adventures of Sabrina,2018,60,7.8,Unknown,34514,Unknown
Mowgli,2018,104,6.6,51,34440,Unknown
CHIPS,2017,100,6.0,28,34399,18591819
The First Purge,2018,98,5.1,54,34276,69086325
Ralph Breaks the Internet,2018,112,7.3,71,33881,188071906
Hotel Transylvania 3: Summer Vacation,2018,97,6.3,54,33512,167510016
