Name,Year,Duration,Rating,MetaScore,Vote,Gross
A Christmas Prince,2017,92,5.7,Unknown,11323,Unknown
Sandy Wexler,2017,130,5.1,40,11314,Unknown
Bareilly Ki Barfi,2017,116,7.5,Unknown,11289,Unknown
Ibiza,2018,94,5.2,56,11261,Unknown
Gypsy,2017,51,6.9,Unknown,11179,Unknown
The Resident,2018,60,7.3,Unknown,11125,Unknown
Destination Wedding,2018,90,6.0,46,11087,Unknown
The Mick,2017,30,7.8,Unknown,11073,Unknown
Mayhem,2017,86,6.3,62,11041,Unknown
How to Be a Latin Lover,2017,115,5.9,54,11032,32088029
The Walking Dead,2010,60,7.6,Unknown,10996,Unknown
Who Is America?,2018,30,8.4,Unknown,10970,Unknown
The Night Comes for Us,2018,121,7.1,69,10954,Unknown
Blindspotting,2018,95,7.4,77,10917,4333394
Vice,2018,132,7.1,61,10915,32026399
Stranger Things,2016,48,8.4,Unknown,10915,Unknown
The Old Man & the Gun,2018,93,7.0,80,10894,11231226
Bad Samaritan,2018,110,6.4,42,10887,3435047
9-1-1,2018,43,7.5,Unknown,10840,Unknown
Everything Sucks!,2018,30,7.5,Unknown,10804,Unknown
The Tick,2017,29,7.4,Unknown,10785,Unknown
Cloak & Dagger,2018,44,7.0,Unknown,10749,Unknown
Unforgettable,2017,100,5.1,45,10708,11274490
Mulk,2018,140,6.2,Unknown,10695,Unknown
Mr. Mercedes,2017,60,8.0,Unknown,10664,Unknown
Stranger Things,2016,51,9.2,Unknown,10657,Unknown
Beautiful Boy,2018,120,7.3,63,10639,7610815
Every Day,2018,97,6.4,52,10613,6102076
Friends from College,2017,30,6.6,Unknown,10451,Unknown
Amityville: The Awakening,2017,85,4.9,42,10292,742
Sahsiyet,2018,60,9.2,Unknown,10262,Unknown
"Midnight, Texas",2017,60,7.5,Unknown,10199,Unknown
Raid,2018,122,7.4,Unknown,10110,1010385
Krypton,2018,45,7.1,Unknown,10095,Unknown
"Don't Worry, He Won't Get Far on Foot",2018,114,6.9,67,10092,1441705
Rick and Morty,2013,23,9.2,Unknown,10060,Unknown
Unfriended: Dark Web,2018,92,5.8,53,10045,8783985
Alex Strangelove,2018,99,6.3,62,10036,Unknown
Teen Titans Go! To the Movies,2018,84,6.8,69,10023,29562341
Veere Di Wedding,2018,135,3.1,Unknown,10023,Unknown
12 Feet Deep,2017,85,5.6,Unknown,9997,Unknown
Good Girls,2018,43,7.9,Unknown,9994,Unknown
Stranger Things,2016,56,8.5,Unknown,9978,Unknown
I Can Only Imagine,2018,110,7.3,30,9955,83482352
HHhH,2017,120,6.4,Unknown,9927,Unknown
OtherLife,2017,96,6.3,Unknown,9883,Unknown
Black Butterfly,2017,93,6.1,43,9876,Unknown
Stranger Things,2016,58,8.9,Unknown,9843,Unknown
Tumbbad,2018,104,8.4,Unknown,9829,Unknown
Stranger Things,2016,51,8.7,Unknown,9776,Unknown
The Vault,2017,91,4.8,50,9765,5728
L'insulte,2017,113,7.7,72,9732,1001305
The Nutcracker and the Four Realms,2018,99,5.6,39,9715,54766081
120 battements par minute,2017,143,7.5,84,9680,125189
Manbiki kazoku,2018,121,8.1,93,9679,1646805
Overdrive,2017,93,5.4,Unknown,9654,Unknown
Vivegam,2017,149,6.0,Unknown,9618,Unknown
A Futile and Stupid Gesture,2018,101,6.8,55,9617,Unknown
Stranger Things,2016,46,8.7,Unknown,9586,Unknown
Goon: Last of the Enforcers,2017,101,5.8,48,9583,Unknown
Babylon Berlin,2017,45,8.4,Unknown,9543,Unknown
Knightfall,2017,60,6.6,Unknown,9529,Unknown
First They Killed My Father,2017,136,7.2,72,9480,Unknown
My Friend Dahmer,2017,107,6.3,68,9468,1355664
Happy End,2017,107,6.8,72,9437,301718
Hangman,2017,98,5.2,31,9420,Unknown
The Walking Dead,2010,47,6.8,Unknown,9407,Unknown
Seven Seconds,2018,60,7.7,Unknown,9401,Unknown
Batman: Gotham by Gaslight,2018,78,6.8,Unknown,9394,Unknown
Sarkar,2018,163,7.5,Unknown,9380,Unknown
Zashchitniki,2017,89,4.0,Unknown,9355,Unknown
Troy: Fall of a City,2018,60,3.8,Unknown,9347,Unknown
Columbus,2017,104,7.2,89,9339,1017107
Mid90s,2018,85,7.4,66,9322,7362439
The Layover,2017,88,4.7,15,9288,Unknown
Westworld,2016,71,8.6,Unknown,9279,Unknown
XX,2017,80,4.6,64,9263,30611
Electric Dreams,2017,60,7.3,Unknown,9253,Unknown
Den 12. mann,2017,135,7.4,75,9222,Unknown
Next Gen,2018,106,6.6,Unknown,9221,Unknown
The Ghazi Attack,2017,116,7.6,Unknown,9220,Unknown
24 Hours to Live,2017,93,5.7,37,9164,Unknown
Manifest,2018,43,7.4,Unknown,9152,Unknown
SEAL Team,2017,43,7.1,Unknown,9150,Unknown
Ghoul,2018,45,7.2,Unknown,9136,Unknown
Ölümlü Dünya,2018,107,7.9,Unknown,9108,Unknown
Thank You for Your Service,2017,109,6.5,68,9090,9467000
October,2018,115,7.6,Unknown,9057,Unknown
Beoning,2018,148,7.7,90,8966,618493
White Boy Rick,2018,111,6.5,59,8962,24011188
McMafia,2018,60,7.7,Unknown,8961,Unknown
Radius,2017,93,6.2,Unknown,8929,Unknown
El Chapo,2017,43,7.9,Unknown,8913,Unknown
The Vietnam War,2017,990,9.1,Unknown,8911,Unknown
Westworld,2016,70,8.0,Unknown,8890,Unknown
Three Identical Strangers,2018,96,7.7,81,8853,12320845
Gaga: Five Foot Two,2017,100,7.1,63,8835,Unknown
96,2018,158,8.9,Unknown,8816,Unknown
Six,2017,60,7.3,Unknown,8794,Unknown
The Man Who Invented Christmas,2017,104,7.0,60,8682,5676486
Occupation,2018,119,5.3,45,8681,Unknown
Shaadi Mein Zaroor Aana,2017,137,7.7,Unknown,8677,Unknown
The Girl in the Spider's Web,2018,117,6.1,43,8657,14841338
Todos lo saben,2018,132,7.0,66,8644,Unknown
Beach Rats,2017,98,6.4,78,8640,472368
Wilson,2017,94,5.8,49,8631,652997
Olaf's Frozen Adventure,2017,22,5.2,Unknown,8630,Unknown
Homecoming,2018,30,7.6,Unknown,8622,Unknown
You Get Me,2017,89,4.7,Unknown,8589,Unknown
The Package,2018,94,5.5,Unknown,8570,Unknown
Teen Titans: The Judas Contract,2017,84,7.0,Unknown,8513,Unknown
Under the Silver Lake,2018,139,6.4,59,8511,Unknown
Batman and Harley Quinn,2017,74,5.9,Unknown,8493,Unknown
The Miseducation of Cameron Post,2018,91,6.7,69,8448,904703
Toivon tuolla puolen,2017,100,7.2,84,8447,183943
The Hate U Give,2018,133,7.0,81,8437,29699245
The Mule,2018,116,7.2,58,8434,84181003
Mark Felt: The Man Who Brought Down the White House,2017,103,6.4,49,8410,768946
Better Call Saul,2015,49,9.7,Unknown,8373,Unknown
Collateral,2018,57,6.7,Unknown,8368,Unknown
The Tale,2018,114,7.3,90,8359,Unknown
Taeksi woonjunsa,2017,137,7.8,69,8307,1527829
Resident Evil: Vendetta,2017,97,6.3,Unknown,8273,Unknown
Killing Gunther,2017,92,4.7,53,8261,Unknown
In Darkness,2018,100,5.7,59,8242,Unknown
Aknyeo,2017,129,6.7,64,8239,27741
Badrinath Ki Dulhania,2017,139,6.2,Unknown,8219,1988441
Entebbe,2018,107,5.8,49,8214,3189220
Chappaquiddick,2017,106,6.5,67,8214,17395520
Sin-gwa ham-kke: Jwi-wa beol,2017,139,7.3,Unknown,8202,1908823
Patti Cake$,2017,109,6.7,67,8164,800148
Gold,2018,151,7.5,Unknown,8153,Unknown
Perfectos desconocidos,2017,97,7.0,Unknown,8101,Unknown
Britannia,2017,60,6.6,Unknown,8091,Unknown
Voice from the Stone,2017,94,5.2,42,8085,Unknown
Smoke,2018,40,8.9,Unknown,8082,Unknown
Dynasty,2017,42,7.3,Unknown,8066,Unknown
Ahlat Agaci,2018,188,8.4,88,8065,Unknown
Newness,2017,117,6.4,50,8053,Unknown
God of War,2018,Unknown,9.7,Unknown,8024,Unknown
Breaking In,2018,88,5.3,42,8021,46383120
Shimmer Lake,2017,83,6.2,Unknown,8009,Unknown
Forever My Girl,2018,108,6.7,36,7985,16376066
Ryde,2017,84,6.0,Unknown,7938,Unknown
Ratsasan,2018,170,8.9,Unknown,7934,Unknown
S.W.A.T.,2017,43,6.7,Unknown,7930,Unknown
The Only Living Boy in New York,2017,89,6.3,33,7911,624332
Gotti,2018,112,4.9,24,7879,4343227
Queer Eye,2018,45,8.4,Unknown,7878,Unknown
The Defiant Ones,2017,60,8.6,Unknown,7871,Unknown
Red Dead Redemption II,2018,Unknown,9.8,Unknown,7808,Unknown
Amy Schumer: The Leather Special,2017,57,2.9,Unknown,7786,Unknown
Our Souls at Night,2017,103,6.9,69,7779,Unknown
"Juliet, Naked",2018,97,6.6,67,7765,3444895
The Walking Dead,2010,45,9.0,Unknown,7713,Unknown
Ittefaq,2017,105,7.2,Unknown,7700,298032
Cumali Ceber 2,2018,100,4.3,Unknown,7677,Unknown
Wonderstruck,2017,116,6.2,71,7674,1033632
Dhadak,2018,138,4.4,Unknown,7666,Unknown
Spyder,2017,155,6.9,Unknown,7657,Unknown
Jagga Jasoos,2017,161,6.4,Unknown,7627,490232
Beatriz at Dinner,2017,82,6.1,68,7613,7115854
Kodachrome,2017,105,6.8,57,7594,Unknown
Cold Skin,2017,108,6.0,Unknown,7542,Unknown
Taken,2017,41,6.7,Unknown,7538,Unknown
Doctor Who,2005,60,7.2,Unknown,7534,Unknown
Lean on Pete,2017,121,7.2,80,7526,1163056
L'amant double,2017,107,6.2,70,7479,167581
Westworld,2016,90,8.6,Unknown,7476,Unknown
The Walking Dead,2010,41,6.7,Unknown,7447,Unknown
Small Town Crime,2017,91,6.6,68,7423,Unknown
Fahrenheit 11/9,2018,128,6.3,69,7419,6352306
Dogman,2018,103,7.4,75,7402,Unknown
Kidding,2018,30,7.9,Unknown,7365,Unknown
The Walking Dead,2010,62,6.7,Unknown,7360,Unknown
Bleach,2018,108,6.5,Unknown,7336,Unknown
Yellowstone,2018,60,8.3,Unknown,7336,Unknown
Uncle Drew,2018,103,5.7,57,7331,42469946
Tour de Pharmacy,2017,39,7.1,Unknown,7289,Unknown
Breathe,2018,45,8.5,Unknown,7287,Unknown
The Walking Dead,2010,51,8.1,Unknown,7275,Unknown
Je ne suis pas un homme facile,2018,98,6.4,Unknown,7260,Unknown
Gunpowder,2017,59,6.7,Unknown,7244,Unknown
Westworld,2016,58,7.9,Unknown,7232,Unknown
Please Stand By,2017,93,6.7,49,7208,9868
First Kill,2017,97,4.9,39,7195,Unknown
Louis C.K. 2017,2017,74,7.5,Unknown,7188,Unknown
Private Life,2018,123,7.3,83,7178,Unknown
Müslüm,2018,136,8.3,Unknown,7151,Unknown
SideHero,2018,30,8.8,Unknown,7139,Unknown
Disjointed,2017,30,6.7,Unknown,7133,Unknown
Wildling,2018,92,5.5,58,7118,Unknown
The Brave,2017,43,7.5,Unknown,7116,Unknown
Gong fu yu jia,2017,107,5.2,50,7098,362657
Tin Star,2017,60,7.3,Unknown,7091,Unknown
Lust Stories,2018,120,6.6,Unknown,7070,Unknown
The Rider,2017,104,7.5,92,7070,2419031
Westworld,2016,58,7.9,Unknown,7045,Unknown
The Kominsky Method,2018,30,8.2,Unknown,7031,Unknown
Meari to majo no hana,2017,103,6.8,75,7028,2418404
Lucifer,2015,43,9.8,Unknown,7025,Unknown
Visages villages,2017,94,7.9,94,6970,953717
Prityazhenie,2017,117,5.5,Unknown,6970,Unknown
Bushwick,2017,94,5.2,44,6957,Unknown
Karwaan,2018,114,7.6,Unknown,6951,182009
Sachin,2017,138,8.7,Unknown,6946,Unknown
Baaghi 2,2018,137,5.1,Unknown,6931,1319579
Father of the Year,2018,94,5.2,32,6926,Unknown
Siberia,2018,104,4.3,34,6913,Unknown
The Crossing,2018,42,7.3,Unknown,6903,Unknown
Westworld,2016,58,8.1,Unknown,6892,Unknown
The Humanity Bureau,2017,95,5.0,Unknown,6889,Unknown
Waco,2018,47,8.0,Unknown,6869,Unknown
Judwaa 2,2017,145,3.9,Unknown,6861,1431255
Golmaal Again,2017,140,5.0,Unknown,6832,1013893
Las chicas del cable,2017,50,7.8,Unknown,6813,Unknown
Ricky Gervais: Humanity,2018,79,7.9,Unknown,6812,Unknown
One Day at a Time,2017,30,8.2,Unknown,6811,Unknown
The Age of Spin: Dave Chappelle Live at the Hollywood Palladium,2017,67,8.0,Unknown,6802,Unknown
A Sniper's War,2018,83,1.8,Unknown,6798,Unknown
Rick and Morty,2013,22,8.1,Unknown,6794,Unknown
The Walking Dead,2010,43,7.0,Unknown,6792,Unknown
The Walking Dead,2010,41,6.3,Unknown,6787,Unknown
Imposters,2017,41,7.8,Unknown,6787,Unknown
The Angel,2018,114,6.7,Unknown,6746,Unknown
The Flash,2014,43,6.2,Unknown,6734,Unknown
Acts of Vengeance,2017,87,5.7,49,6721,Unknown
The Walking Dead,2010,41,6.8,Unknown,6713,Unknown
Sherlock Gnomes,2018,86,5.1,36,6705,43242871
Bairavaa,2017,169,6.2,Unknown,6701,Unknown
The Haunting of Hill House,2018,70,9.5,Unknown,6645,Unknown
Instant Family,2018,118,7.6,57,6643,66388560
Climax,2018,95,7.7,83,6632,Unknown
The Walking Dead,2010,46,7.4,Unknown,6625,Unknown
Active Measures,2018,109,8.3,68,6619,11953
Le sens de la fête,2017,117,6.9,Unknown,6613,Unknown
The Walking Dead,2010,49,7.4,Unknown,6610,Unknown
The Walking Dead,2010,47,7.7,Unknown,6604,Unknown
The Wife,2017,100,7.3,77,6598,8206930
Deep in the Heart of Texas: Dave Chappelle Live at Austin City Limits,2017,66,7.9,Unknown,6586,Unknown
The Polka King,2017,95,5.9,65,6582,Unknown
Goosebumps 2: Haunted Halloween,2018,90,5.7,53,6576,46700633
Westworld,2016,59,7.8,Unknown,6573,Unknown
Acts of Violence,2018,86,5.2,28,6569,Unknown
Kin,2018,102,5.7,35,6548,5718096
Inconceivable,2017,105,5.2,Unknown,6536,Unknown
Charmed,2018,43,4.1,Unknown,6523,Unknown
Down a Dark Hall,2018,96,5.2,56,6523,Unknown
Westworld,2016,59,8.5,Unknown,6518,Unknown
13 Reasons Why,2017,60,9.1,Unknown,6518,Unknown
Siren,2018,60,7.2,Unknown,6511,Unknown
Win It All,2017,88,6.2,77,6481,Unknown
Aloko Udapadi,2017,113,9.6,Unknown,6476,Unknown
Billionaire Boys Club,2018,108,5.6,30,6451,Unknown
Payitaht Abdülhamid,2017,120,5.0,Unknown,6448,Unknown
Doctor Who,2005,49,7.2,Unknown,6425,Unknown
They Shall Not Grow Old,2018,99,8.6,92,6422,5703839
Rick and Morty,2013,22,8.8,Unknown,6419,Unknown
The Great Father,2017,151,7.4,Unknown,6414,Unknown
The Punisher,2017,51,9.5,Unknown,6410,Unknown
Hichki,2018,116,7.5,Unknown,6408,330279
Kaala,2018,162,6.9,Unknown,6396,Unknown
Suicide Squad: Hell to Pay,2018,86,7.0,Unknown,6394,Unknown
The Walking Dead,2010,46,6.6,Unknown,6380,Unknown
Rick and Morty,2013,23,8.1,Unknown,6372,Unknown
The Pirates of Somalia,2017,116,6.8,54,6372,Unknown
Bill Nye Saves the World,2017,30,3.6,Unknown,6364,Unknown
Salyut-7,2017,111,7.2,Unknown,6360,Unknown
Tragedy Girls,2017,98,6.0,58,6349,61899
The Hero,2017,96,6.5,61,6346,4077333
Holmes & Watson,2018,90,3.4,24,6346,29284399
An Inconvenient Sequel: Truth to Power,2017,98,6.3,68,6332,3496795
Deception,2018,41,7.5,Unknown,6328,Unknown
Mary Shelley,2017,120,6.4,49,6320,97321
Absentia,2017,60,7.3,Unknown,6318,Unknown
Mayans M.C.,2018,60,7.5,Unknown,6306,Unknown
Christmas Inheritance,2017,104,5.7,Unknown,6301,Unknown
November Criminals,2017,107,5.3,31,6285,Unknown
Sidney Hall,2017,119,6.9,18,6283,Unknown
Revolt,2017,87,5.2,Unknown,6268,Unknown
Renegades,2017,106,5.4,33,6265,Unknown
Hot Summer Nights,2017,107,6.4,44,6225,Unknown
Mom,2017,146,7.3,Unknown,6198,Unknown
The Dinner,2017,120,4.5,57,6191,1322839
Paradise PD,2018,28,7.0,Unknown,6183,Unknown
Arrow,2012,42,9.7,Unknown,6182,Unknown
The Looming Tower,2018,50,8.0,Unknown,6181,Unknown
Deadpool: No Good Deed,2017,4,8.2,Unknown,6172,Unknown
Devilman: Crybaby,2018,25,7.6,Unknown,6168,Unknown
Mahanati,2018,177,8.7,Unknown,6140,Unknown
The Bold Type,2017,45,8.1,Unknown,6137,Unknown
Prison Break,2005,45,8.7,Unknown,6118,Unknown
Strike,2017,60,7.9,Unknown,6100,Unknown
Colette,2018,111,6.8,74,6086,5137622
Westworld,2016,58,7.8,Unknown,6076,Unknown
Day of the Dead: Bloodline,2018,90,3.4,Unknown,6068,Unknown
How to Talk to Girls at Parties,2017,102,5.8,50,6066,84809
Masum,2017,60,8.9,Unknown,6060,Unknown
The Case for Christ,2017,112,6.2,50,6053,14678714
The Walking Dead,2010,56,6.8,Unknown,6025,Unknown
La Mante,2017,52,7.5,Unknown,6024,Unknown
Rick and Morty,2013,22,8.4,Unknown,5983,Unknown
The Bookshop,2017,113,6.5,62,5963,1588150
Kill Switch,2017,91,4.8,31,5950,Unknown
Blade Runner: Black Out 2022,2017,15,7.4,Unknown,5938,Unknown
The Last Word,2017,108,6.6,40,5935,1782667
Proud Mary,2018,89,4.9,35,5934,20868638
Spinning Man,2018,100,5.6,44,5934,Unknown
The Hunter's Prayer,2017,91,5.5,35,5915,Unknown
The Walking Dead,2010,43,7.6,Unknown,5914,Unknown
The Haunting of Hill House,2018,57,9.4,Unknown,5900,Unknown
The Recall,2017,90,4.4,Unknown,5898,17218989
Hannah Gadsby: Nanette,2018,69,8.5,Unknown,5897,Unknown
Office Uprising,2018,92,6.5,Unknown,5893,Unknown
13 Reasons Why,2017,54,8.3,Unknown,5889,Unknown
Malevolent,2018,89,4.8,Unknown,5889,Unknown
Kiborgy. Heroyi ne vmyrayut,2017,112,8.4,Unknown,5888,Unknown
The Walking Dead,2010,51,7.3,Unknown,5888,Unknown
Blackmail,2018,138,7.0,Unknown,5882,Unknown
Gi-eok-ui bam,2017,108,7.3,Unknown,5877,Unknown
The Death of Superman,2018,81,7.4,Unknown,5854,Unknown
The Lodgers,2017,92,5.1,52,5819,Unknown
Rick and Morty,2013,22,8.7,Unknown,5811,Unknown
Bullet Head,2017,93,5.3,51,5798,Unknown
Film Stars Don't Die in Liverpool,2017,105,6.7,65,5787,1026124
The Man from Earth: Holocene,2017,98,5.3,Unknown,5778,5472
The Walking Dead,2010,48,7.5,Unknown,5777,Unknown
Tuntematon sotilas,2017,180,7.9,Unknown,5772,Unknown
Wildlife,2018,105,7.1,80,5765,1024412
Snowfall,2017,44,7.8,Unknown,5760,Unknown
The Purge,2018,60,6.2,Unknown,5732,Unknown
The Whiskey Bandit,2017,126,7.6,Unknown,5717,Unknown
Powerless,2017,21,6.4,Unknown,5715,Unknown
OHA Diyorum,2017,90,2.7,Unknown,5705,Unknown
Beast,2017,107,6.9,74,5691,800365
The White Princess,2017,Unknown,7.7,Unknown,5687,Unknown
13 Reasons Why,2017,54,9.0,Unknown,5666,Unknown
El Camino Christmas,2017,89,5.6,Unknown,5659,Unknown
Bokeh,2017,92,5.0,56,5650,Unknown
Shubh Mangal Saavdhan,2017,119,6.9,Unknown,5620,689874
Escape at Dannemora,2018,Unknown,8.2,Unknown,5619,Unknown
Psych: The Movie,2017,88,7.6,Unknown,5617,Unknown
The Punisher,2017,51,8.7,Unknown,5602,Unknown
Theeran Adhigaaram Ondru,2017,157,8.3,Unknown,5577,Unknown
Fi,2017,60,8.1,Unknown,5569,Unknown
The Walking Dead,2010,45,6.1,Unknown,5556,Unknown
Bleeding Steel,2017,109,5.2,43,5535,Unknown
El guardián invisible,2017,129,6.3,Unknown,5521,Unknown
Juzni vetar,2018,130,8.5,Unknown,5519,Unknown
Mr. Robot,2015,45,9.7,Unknown,5510,Unknown
Utøya 22. juli,2018,93,7.5,75,5494,Unknown
Assassination Nation,2018,108,5.9,56,5489,1959204
Succession,2018,60,7.7,Unknown,5478,Unknown
Rebel in the Rye,2017,106,6.6,46,5478,378294
Condor,2018,60,7.8,Unknown,5445,Unknown
Sweet Virginia,2017,93,6.2,72,5438,10456
The Kindergarten Teacher,2018,96,6.8,75,5427,Unknown
Death of a Nation,2018,108,4.7,1,5419,5885881
Extortion,2017,108,6.2,Unknown,5391,Unknown
Doctor Who,2005,48,6.3,Unknown,5383,Unknown
Star Trek: Discovery,2017,42,7.2,Unknown,5383,Unknown
Alibi.com,2017,90,6.5,Unknown,5368,Unknown
Irreplaceable You,2018,96,6.4,34,5361,Unknown
Legion,2017,70,8.9,Unknown,5356,Unknown
Nappily Ever After,2018,98,6.4,63,5356,Unknown
White Gold,2017,30,7.4,Unknown,5336,Unknown
Les affamés,2017,104,6.0,Unknown,5335,Unknown
Godzilla: Monster Planet,2017,89,6.0,Unknown,5332,Unknown
The Dragon Prince,2018,26,8.3,Unknown,5327,Unknown
The Super,2017,90,5.9,47,5315,Unknown
The Walking Dead,2010,44,6.5,Unknown,5270,Unknown
A.P. Bio,2018,21,6.9,Unknown,5258,Unknown
The Place,2017,105,7.1,Unknown,5257,Unknown
Blame!,2017,106,6.7,Unknown,5231,Unknown
Toc Toc,2017,90,6.6,Unknown,5214,Unknown
Diary of a Wimpy Kid: The Long Haul,2017,91,4.4,39,5210,20638993
The Nile Hilton Incident,2017,111,6.8,70,5210,81089
2036: Nexus Dawn,2017,6,7.0,Unknown,5209,Unknown
Wet Hot American Summer: Ten Years Later,2017,30,7.0,Unknown,5204,Unknown
Vengeance: A Love Story,2017,99,5.2,Unknown,5196,Unknown
Action Point,2018,85,5.0,36,5182,5059608
The Blacklist: Redemption,2017,43,7.2,Unknown,5182,Unknown
Dirty Dancing,2017,130,3.1,Unknown,5180,Unknown
Aravindha Sametha Veera Raghava,2018,162,8.3,Unknown,5171,Unknown
Half Girlfriend,2017,135,4.3,Unknown,5170,Unknown
Small Crimes,2017,95,5.8,60,5161,Unknown
Mr. Robot,2015,45,9.7,Unknown,5158,Unknown
BoJack Horseman,2014,26,9.8,Unknown,5137,Unknown
Bomb City,2017,95,6.9,65,5131,59329
The Punisher,2017,52,9.3,Unknown,5130,Unknown
Life Itself,2018,117,6.3,21,5125,4102648
Time Trap,2017,87,6.6,Unknown,5123,Unknown
Zhan lang II,2017,123,6.2,44,5122,2721100
Hell Fest,2018,89,5.6,26,5112,11107431
Legacies,2018,45,7.4,Unknown,5110,Unknown
Twin Peaks,2017,56,8.7,Unknown,5106,Unknown
The Walking Dead,2010,46,8.1,Unknown,5102,Unknown
Taboo,2017,55,8.6,Unknown,5102,Unknown
Thunder Road,2018,92,7.2,83,5100,Unknown
Suburra - La serie,2017,50,8.0,Unknown,5086,Unknown
Au revoir là-haut,2017,117,7.6,Unknown,5080,Unknown
Viceroy's House,2017,106,6.7,53,5075,1105717
Love Per Square Foot,2018,133,7.2,Unknown,5068,Unknown
Spider-Man,2018,Unknown,9.5,Unknown,5068,Unknown
The Punisher,2017,55,9.2,Unknown,5061,Unknown
All Nighter,2017,86,5.7,37,5061,Unknown
Impulse,2018,50,7.6,Unknown,5059,Unknown
The Children Act,2017,105,6.7,62,5052,513381
The Rookie,2018,43,8.0,Unknown,5050,Unknown
Detroit: Become Human,2018,Unknown,9.4,Unknown,5050,Unknown
2036 Origin Unknown,2018,94,4.6,Unknown,5041,Unknown
Taxi 5,2018,102,4.7,Unknown,5037,Unknown
UFO,2018,88,6.2,Unknown,5033,Unknown
The Walking Dead,2010,58,7.3,Unknown,5031,Unknown
Fargo,2014,67,8.7,Unknown,5017,Unknown
Daredevil,2015,54,9.6,Unknown,5010,Unknown
I Am Heath Ledger,2017,90,7.4,68,5001,Unknown
On Chesil Beach,2017,110,6.3,62,5001,745971
The Con Is On,2018,90,4.6,Unknown,5000,Unknown
Drone,2017,91,5.3,49,4985,Unknown
Black '47,2018,100,6.9,65,4979,50026
Accident Man,2018,105,6.1,Unknown,4957,Unknown
The Holiday Calendar,2018,95,5.7,Unknown,4955,Unknown
Horizon Zero Dawn,2017,Unknown,9.3,Unknown,4945,Unknown
The Clovehitch Killer,2018,109,6.6,59,4940,8208
Tabula Rasa,2017,60,8.1,Unknown,4940,Unknown
The Conners,2018,30,4.9,Unknown,4925,Unknown
Mary Magdalene,2018,120,5.8,47,4920,Unknown
"Paul, Apostle of Christ",2018,108,6.7,52,4909,17560475
The Walking Dead,2010,44,7.8,Unknown,4908,Unknown
13 Reasons Why,2017,62,8.9,Unknown,4905,Unknown
My Little Pony: The Movie,2017,99,6.1,39,4897,21885107
Star Trek: Discovery,2017,38,7.5,Unknown,4892,Unknown
Famous in Love,2017,42,7.0,Unknown,4892,Unknown
A Very English Scandal,2018,180,7.8,Unknown,4885,Unknown
Vada Chennai,2018,164,8.9,Unknown,4882,Unknown
On My Block,2018,30,8.1,Unknown,4874,Unknown
13 Reasons Why,2017,52,8.1,Unknown,4872,Unknown
New Amsterdam,2018,43,8.0,Unknown,4862,Unknown
Supernatural,2005,42,9.6,Unknown,4848,Unknown
The Punisher,2017,49,9.2,Unknown,4845,Unknown
The Incredible Jessica James,2017,85,6.5,72,4831,Unknown
Galveston,2018,91,6.1,57,4831,Unknown
Pengabdi Setan,2017,107,6.8,Unknown,4829,Unknown
The Star,2017,86,6.1,42,4821,40852824
2048: Nowhere to Run,2017,5,6.9,Unknown,4806,Unknown
Distorted,2018,86,5.3,Unknown,4792,Unknown
The Crucifixion,2017,90,5.0,Unknown,4792,Unknown
Acrimony,2018,120,5.6,32,4785,43549096
Sweet Country,2017,113,6.8,87,4764,95609
Final Score,2018,104,5.7,53,4763,Unknown
Submergence,2017,112,5.4,38,4756,Unknown
Descendants 2,2017,111,6.6,Unknown,4750,Unknown
Patient Zero,2018,93,4.3,Unknown,4747,Unknown
Le jeu,2018,90,6.8,Unknown,4742,Unknown
The Punisher,2017,57,8.4,Unknown,4742,Unknown
Dave Chappelle: Equanimity,2017,64,8.1,Unknown,4739,Unknown
Damnation,2017,60,7.7,Unknown,4737,Unknown
Rick and Morty,2013,22,7.9,Unknown,4732,Unknown
Rick and Morty,2013,22,8.1,Unknown,4718,Unknown
Geetha Govindam,2018,142,8.0,Unknown,4709,Unknown
The First,2018,45,6.7,Unknown,4708,Unknown
Blood Drive,2017,60,7.3,Unknown,4706,Unknown
Hearts Beat Loud,2018,97,6.9,65,4705,2386251
Errementari,2017,98,6.4,Unknown,4702,Unknown
The Sense of an Ending,2017,108,6.3,61,4702,1235432
Clinical,2017,104,5.1,Unknown,4685,Unknown
Oasis,2017,60,8.2,Unknown,4680,Unknown
Ghosted,2017,30,6.3,Unknown,4678,Unknown
The Little Mermaid,2018,85,4.2,Unknown,4669,147000
Lou,2017,7,7.9,Unknown,4666,Unknown
The Haunting of Hill House,2018,60,8.3,Unknown,4663,Unknown
Satyameva Jayate,2018,140,5.8,Unknown,4659,Unknown
Órbita 9,2017,95,5.8,Unknown,4657,Unknown
Goodachari,2018,147,7.9,Unknown,4644,Unknown
Çukur,2017,120,8.2,Unknown,4628,Unknown
Jusqu'à la garde,2017,93,7.6,83,4616,83882
The Leftovers,2014,72,9.6,Unknown,4609,Unknown
Dude,2018,97,5.1,Unknown,4606,Unknown
Pose,2018,75,8.5,Unknown,4602,Unknown
Singam 3,2017,155,6.5,Unknown,4601,Unknown
Twin Peaks,2017,59,8.6,Unknown,4599,Unknown
Spielberg,2017,147,7.7,Unknown,4571,Unknown
Avicii: True Stories,2017,97,7.7,Unknown,4569,Unknown
Demon House,2018,111,5.6,Unknown,4567,Unknown
13 Reasons Why,2017,57,8.0,Unknown,4566,Unknown
